m,r,T,rho,P,l,X_H,X_He4,X_He3,X_C12,X_N14,X_O16,X_7Be,nu pp,nu B8,nu N13,nu O15,nu F17,nu Be7,nu pep,nu hep
0.00059262,0.00161,15512900.4,150.2718265,2.34E+17,1.00E-05,0.364560911,0.620191693,8.89E-06,7.79E-06,0.003730331,0.006061274,1.58E-11,2.92E-06,3.51E-05,2.10E-05,2.88E-05,3.18E-05,1.42E-05,4.53E-06,1.22E-06
0.000528054,0.002592452,15508821.44,150.2319744,2.34E+17,2.17E-05,0.3646922,0.620149277,8.90E-06,7.80E-06,0.003732631,0.006065092,1.58E-11,6.66E-06,8.13E-05,4.85E-05,6.74E-05,7.44E-05,3.28E-05,1.04E-05,2.87E-06
0.000465158,0.003574905,15504206.97,150.1758388,2.34E+17,3.99E-05,0.364874131,0.620018515,8.92E-06,7.80E-06,0.003740583,0.006068448,1.58E-11,1.21E-05,0.000148009,8.82E-05,0.000122699,0.000135462,5.96E-05,1.90E-05,5.22E-06
0.000404705,0.004557357,15499057.81,150.1026628,2.34E+17,8.34E-05,0.365107414,0.619807238,8.94E-06,7.80E-06,0.003739883,0.006071423,1.57E-11,1.93E-05,0.00023367,0.000139505,0.000193552,0.000213575,9.44E-05,3.02E-05,8.28E-06
0.000347455,0.00553981,15493374.94,150.0117628,2.33E+17,0.000150357,0.365392759,0.619522392,8.96E-06,7.80E-06,0.003739924,0.006074096,1.57E-11,2.81E-05,0.000338156,0.000202182,0.000280115,0.000309044,0.000137094,4.38E-05,1.21E-05
0.000294152,0.006522262,15487159.46,149.9025272,2.33E+17,0.00024974,0.365730876,0.619170034,8.99E-06,7.79E-06,0.003740029,0.006076549,1.57E-11,3.85E-05,0.000460998,0.00027582,0.000382199,0.000421758,0.000187548,5.98E-05,1.65E-05
0.000245522,0.007504715,15480412.62,149.7744154,2.33E+17,0.000377564,0.366122475,0.618755334,9.02E-06,7.79E-06,0.003740069,0.006078861,1.56E-11,5.05E-05,0.00060091,0.000359604,0.000498748,0.000550525,0.000245338,7.84E-05,2.17E-05
0.00020228,0.008487167,15473135.8,149.6269564,2.33E+17,0.000539142,0.366568267,0.618282575,9.06E-06,7.78E-06,0.003740071,0.006081113,1.56E-11,6.40E-05,0.000756899,0.00045295,0.000628839,0.000694226,0.000310159,9.96E-05,2.76E-05
0.000165123,0.00946962,15465330.54,149.4597475,2.33E+17,0.000758965,0.367068962,0.617755151,9.10E-06,7.78E-06,0.003740053,0.006083385,1.56E-11,7.90E-05,0.000928392,0.000555558,0.000771868,0.000852059,0.000381902,0.000123251,3.42E-05
0.000134733,0.010452072,15456998.49,149.2724525,2.32E+17,0.001013488,0.36762527,0.617175569,9.14E-06,7.77E-06,0.003740026,0.006085759,1.55E-11,9.56E-05,0.001114917,0.00066721,0.000927344,0.001023351,0.000460527,0.000149312,4.15E-05
0.000111779,0.011434525,15448141.42,149.0648002,2.32E+17,0.001326452,0.368237901,0.61654545,9.19E-06,7.76E-06,0.003739997,0.006088316,1.54E-11,0.000113897,0.00131575,0.000787554,0.001094648,0.001207317,0.000545926,0.000177709,4.95E-05
9.69E-05,0.012416977,15438761.28,148.8365832,2.32E+17,0.001697426,0.368907535,0.615865528,9.25E-06,7.76E-06,0.003739971,0.006091135,1.54E-11,0.000133763,0.001529755,0.000915991,0.001272917,0.001402945,0.000637854,0.000208378,5.83E-05
9.08E-05,0.013399429,15428860.09,148.5876552,2.31E+17,0.002124206,0.369634117,0.615135836,9.31E-06,7.75E-06,0.003739951,0.006094248,1.53E-11,0.000155213,0.001755556,0.001051782,0.001461155,0.001609112,0.000735987,0.000241268,6.79E-05
9.40E-05,0.014381882,15418440.05,148.3179297,2.31E+17,0.002622898,0.370416854,0.61435626,9.37E-06,7.74E-06,0.003739936,0.006097644,1.53E-11,0.000178221,0.001991755,0.001194178,0.001658388,0.001824736,0.000840008,0.000276346,7.81E-05
0.00010716,0.015364334,15407503.46,148.0273776,2.30E+17,0.003190521,0.371254921,0.613526734,9.44E-06,7.73E-06,0.003739928,0.006101306,1.52E-11,0.000202764,0.002236956,0.001342428,0.001863652,0.002048757,0.000949599,0.000313595,8.90E-05
0.000130888,0.016346787,15396052.73,147.716025,2.30E+17,0.003830419,0.372147491,0.612647234,9.52E-06,7.72E-06,0.003739928,0.00610522,1.51E-11,0.000228816,0.002489733,0.00149576,0.002075957,0.002280084,0.001064432,0.000352995,0.000100436
0.000165754,0.017329239,15384090.43,147.3839506,2.29E+17,0.004549965,0.373093737,0.611717781,9.60E-06,7.71E-06,0.003739935,0.006109369,1.50E-11,0.000256347,0.002748603,0.00165336,0.002294243,0.002517548,0.001184138,0.000394516,0.000113323
